食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
糙米(長粒，生),1,370,7.94,77.24,2.92,3.5,0.85,7
糙米粉,1,363,7.23,76.48,2.78,4.6,0.85,8
糙米飯(中粒),1,112,2.32,23.51,0.83,1.8,0,1
糙米飯(長粒),1,111,2.58,22.96,0.9,1.8,0.35,5
紅糖肉桂酥餅(以多士爐烘焗),1,412,5.1,68.1,14.2,1,0,424
耶克蕾亞泡芙(吉士餡料，朱古力面層),1,262,6.4,24.2,15.7,0.6,6.6,337
肉桂丹麥酥(沒有添加),1,403,7,44.6,22.4,1.2,0,371
肉桂咖啡蛋糕(餅屑面層，以預拌粉製成),1,318,5.5,52.8,9.6,1.2,29.53,421
肉桂咖啡蛋糕(餅屑面層，沒有添加),1,418,6.8,46.7,23.3,2,0,351
肉桂咖啡蛋糕預拌粉(餅屑面層）,1,436,4.8,77.7,12,1.8,42.52,596
脆麵包粒,1,407,11.9,73.5,6.6,5.1,0,698
脆麵包粒(已調味),1,465,10.8,63.5,18.3,5,4.41,1238
膨鬆餅預拌粉(沒有添加),1,371,10.4,71,4.3,0,0,906
芝士丹麥酥,1,374,8,37.2,21.9,1,6.95,450
芝士丹麥酥(快餐式),1,388,6.41,31.53,27.06,0,0,351
芝士味餅乾,1,503,10.1,58.2,25.3,2.4,0.28,995
芝士咖啡蛋糕,1,339,7,44.3,15.2,1,0,339
芝士夾心芝士味餅乾,1,490,8.92,58.76,24.41,1.9,12.33,878
芝士夾心餅乾小食,1,477,9.3,61.7,21.1,1.9,3.18,1401
芝士夾心麥餅乾,1,497,9.8,58.2,25,3.1,0,913
芝士夾心黑麥餅乾,1,481,9.2,60.8,22.3,3.6,0,1044
芝士牛角包,1,414,9.2,47,20.9,2.6,11.35,555
芝士甜餐包,1,360,7.1,43.7,18.3,1.2,0,357
芝士蛋糕,1,321,5.5,25.5,22.5,0.4,21.8,207
芝士蛋糕(以預拌粉製成，無須烘焙類型),1,274,5.5,35.5,12.7,1.9,0,380
花生醬夾心曲奇,1,478,8.8,65.6,21.1,1.9,35.44,368
花生醬夾心芝士味餅乾,1,496,12.41,56.74,25.12,3.4,6.98,710
花生醬夾心餅乾小食,1,494,11.47,58.38,24.54,2.3,10.5,718
花生醬夾心麥餅乾,1,495,13.5,53.8,26.7,4.4,0,807
花生醬曲奇,1,477,9.6,58.9,23.6,1.8,31.83,415
花生醬曲奇(以冷藏麵糰焗製),1,503,9.1,57.3,27.5,1.2,0,436
花生醬曲奇麵糰(冷藏),1,458,8.2,52.1,25,1.1,0,397
花生醬軟曲奇,1,457,5.3,57.7,24.4,1.7,0,336
英式鬆餅(沒有添加丙酸鈣)[含酵頭],1,235,7.7,46,1.8,2.7,0,464
英式鬆餅(沒有添加，含丙酸鈣)[含酵頭],1,235,7.7,46,1.8,2.7,0,464
莧菜籽(熟),1,102,3.8,18.69,1.58,2.1,0,6
菠菜意大利粉(乾),1,372,13.35,74.81,1.57,10.6,2.72,36
菠菜意大利粉(熟),1,130,4.58,26.15,0.63,0,0,14
菠菜意粉(新鮮冷藏),1,289,11.26,55.72,2.1,0,0,27
菠菜意粉(新鮮冷藏，熟),1,130,5.06,25.04,0.94,0,0,6
菠菜蛋麵(乾，添加),1,382,14.61,70.32,4.55,6.8,0,72
菠菜蛋麵(熟，添加),1,132,5.04,24.25,1.57,2.3,0.71,12
蔬菜通心粉(乾，添加),1,367,13.14,74.88,1.04,4.3,0,43
蔬菜通心粉(熟，添加),1,128,4.53,26.61,0.11,4.3,1.15,6
蕎麥,1,343,13.25,71.5,3.4,10,0,1
蕎麥穀粒(烤熟),1,92,3.38,19.94,0.62,2.7,0.9,4
蕎麥穀粒(烤，乾),1,346,11.73,74.95,2.71,10.3,0,11
