食物名稱,種類,能量,蛋白質,碳水化合物,脂肪,膳食纖維,糖,鈉
杏脯,4,333,0.8,82,0.6,1.8,0,213.3
枇杷,4,41,0.8,9.3,0.2,0.8,0,4
柑桔(均值),4,51,0.7,11.9,0.2,0.4,0,1.4
柚[文旦],4,42,0.8,9.5,0.2,0.4,0,3
柿,4,74,0.4,18.5,0.1,1.4,0,0.8
柿餅,4,255,1.8,62.8,0.2,2.6,0,6.4
桂圓,4,71,1.2,16.6,0.1,0.4,0,3.9
桂圓(乾),4,277,5,64.8,0.2,2,0,3.3
桂圓肉,4,317,4.6,73.5,1,2,0,7.3
桃(均值),4,51,0.9,12.2,0.1,1.3,0,5.7
桃(糖水罐頭),4,59,0.3,14.7,0,0.4,0,28
桃脯,4,315,1.4,77.6,0.4,2.4,0,243
桑葚(乾),4,298,21.1,54.2,6.1,29.3,0,28.1
桑葚(均值),4,57,1.7,13.8,0.4,4.1,0,2
桑葚(白),4,60,1.8,14.9,0.3,4.9,0,2
桑葚(紅),4,55,1.6,12.9,0.4,3.3,0,1.9
桔柑子[寬皮桂],4,44,0.8,10.2,0.1,0.5,0,0.8
桔餅,4,371,0.6,92.9,0.4,3.5,0,485.9
梅[青梅],4,35,0.9,6.2,0.9,1,0,0
梨(均值),4,50,0.4,13.3,0.2,3.1,0,2.1
梨(糖水罐頭),4,36,0.5,8.8,0.2,1.4,0,2.1
棗(乾),4,276,3.2,67.8,0.5,6.2,0,6.2
棗(乾，大),4,317,2.1,81.1,0.4,9.5,0,8.3
棗(鮮),4,125,1.1,30.5,0.3,1.9,0,1.2
楊桃,4,31,0.6,7.4,0.2,1.2,0,1.4
楊梅[樹梅，山楊梅],4,30,0.8,6.7,0.2,1,0,0.7
樂陵棗,4,233,3.3,57.9,0.6,8.8,0,0
橄欖(白欖),4,57,0.8,15.1,0.2,4,0,0
橙,4,48,0.8,11.1,0.2,0.6,0,1.2
檸檬,4,37,1.1,6.2,1.2,1.3,0,1.1
櫻桃,4,46,1.1,10.2,0.2,0.3,0,8
沙棘,4,120,0.9,25.5,1.8,0.8,0,28
海棠(罐頭),4,56,0.5,13.6,0.2,1.3,0,8.8
海棠果[楸子],4,76,0.3,19.2,0.2,1.8,0,0.6
海棠脯,4,290,0.6,72.6,0.2,2.2,0,200.5
無花果,4,65,1.5,16,0.1,3,0,5.5
